"","Agno","Grado","rbd","Grupo_socioeconomico","PtjeLectura","PtjeMatematica","Autoestima","Convivencia","HabitosSaludables","FormacionCiudadana","Desempeno"
"258",2016,"4b",368,"Medio",245,224,71,67,70,71,"MEDIO-BAJO"
"259",2016,"4b",369,"Medio bajo",297,219,87,NA,79,89,"SIN CATEGORIA: BAJA MATRICULA"
"260",2016,"4b",370,"Medio bajo",250,243,70,71,66,76,"MEDIO-BAJO"
"261",2016,"4b",370,"Medio bajo",250,243,70,71,66,76,"MEDIO"
"262",2016,"4b",371,"Medio bajo",254,241,74,NA,71,80,"MEDIO-BAJO"
"263",2016,"4b",371,"Medio bajo",254,241,74,NA,71,80,"MEDIO"
"264",2016,"4b",374,"Medio bajo",235,223,74,73,74,78,"SIN CATEGORIA: FALTA DE INFORMACIÓN"
"265",2016,"4b",374,"Medio bajo",235,223,74,73,74,78,"MEDIO"
"266",2016,"4b",375,"Medio",272,259,80,82,79,85,"SIN CATEGORIA: FALTA DE INFORMACIÓN"
"267",2016,"4b",375,"Medio",272,259,80,82,79,85,"MEDIO"
"268",2016,"4b",377,"Bajo",305,265,63,69,68,64,"MEDIO"
"269",2016,"4b",380,"Medio bajo",249,224,79,83,77,87,"INSUFICIENTE"
"270",2016,"4b",380,"Medio bajo",249,224,79,83,77,87,"MEDIO-BAJO"
"271",2016,"4b",381,"Medio bajo",270,246,82,74,79,85,"MEDIO-BAJO"
"272",2016,"4b",381,"Medio bajo",270,246,82,74,79,85,"MEDIO"
"273",2016,"4b",382,"Medio",267,247,75,81,68,79,"MEDIO-BAJO"
"274",2016,"4b",382,"Medio",267,247,75,81,68,79,"MEDIO"
"275",2016,"4b",386,"Medio",275,304,82,78,73,85,"MEDIO"
"276",2016,"4b",387,"Medio bajo",212,229,62,63,55,64,"SIN CATEGORIA: BAJA MATRICULA"
"277",2016,"4b",390,"Medio alto",279,267,71,67,73,73,"SIN CATEGORIA: FALTA DE INFORMACIÓN"
"278",2016,"4b",390,"Medio alto",279,267,71,67,73,73,"MEDIO"
"279",2016,"4b",401,"Medio",271,256,75,79,70,77,"INSUFICIENTE"
"280",2016,"4b",401,"Medio",271,256,75,79,70,77,"MEDIO-BAJO"
"281",2016,"4b",403,"Medio bajo",251,229,77,71,72,80,"INSUFICIENTE"
"282",2016,"4b",403,"Medio bajo",251,229,77,71,72,80,"MEDIO-BAJO"
"283",2016,"4b",405,"Medio bajo",246,249,79,81,76,87,"INSUFICIENTE"
"284",2016,"4b",405,"Medio bajo",246,249,79,81,76,87,"MEDIO-BAJO"
"285",2016,"4b",406,"Medio bajo",247,244,74,73,68,78,"INSUFICIENTE"
"286",2016,"4b",406,"Medio bajo",247,244,74,73,68,78,"MEDIO-BAJO"
"287",2016,"4b",407,"Medio bajo",245,233,73,64,64,72,"INSUFICIENTE"
"288",2016,"4b",407,"Medio bajo",245,233,73,64,64,72,"MEDIO-BAJO"
"289",2016,"4b",408,"Medio bajo",258,235,73,72,72,79,"MEDIO-BAJO"
"290",2016,"4b",410,"Medio bajo",239,230,75,72,69,77,"INSUFICIENTE"
"291",2016,"4b",410,"Medio bajo",239,230,75,72,69,77,"MEDIO-BAJO"
"292",2016,"4b",411,"Medio bajo",239,232,75,70,68,79,"INSUFICIENTE"
"293",2016,"4b",411,"Medio bajo",239,232,75,70,68,79,"MEDIO-BAJO"
"294",2016,"4b",413,"Medio bajo",227,205,69,NA,63,71,"INSUFICIENTE"
"295",2016,"4b",415,"Medio alto",297,278,73,82,66,80,"MEDIO"
"296",2016,"4b",416,"Medio",260,259,75,78,65,76,"INSUFICIENTE"
"297",2016,"4b",416,"Medio",260,259,75,78,65,76,"MEDIO-BAJO"
"298",2016,"4b",417,"Medio",239,205,70,67,69,70,"MEDIO-BAJO"
"299",2016,"4b",417,"Medio",239,205,70,67,69,70,"INSUFICIENTE"
"300",2016,"4b",418,"Medio",277,263,75,78,75,81,"MEDIO"
"301",2016,"4b",419,"Medio bajo",243,213,74,70,66,77,"MEDIO-BAJO"
"302",2016,"4b",419,"Medio bajo",243,213,74,70,66,77,"INSUFICIENTE"
"303",2016,"4b",420,"Medio bajo",253,229,78,NA,77,83,"INSUFICIENTE"
"304",2016,"4b",421,"Medio",271,264,72,75,67,79,"MEDIO-BAJO"
"305",2016,"4b",421,"Medio",271,264,72,75,67,79,"MEDIO"
"306",2016,"4b",423,"Medio bajo",268,243,80,75,77,85,"MEDIO-BAJO"
"307",2016,"4b",427,"Medio",244,239,74,74,71,78,"MEDIO-BAJO"
"308",2016,"4b",427,"Medio",244,239,74,74,71,78,"MEDIO"
"309",2016,"4b",429,"Medio alto",255,270,73,74,70,78,"MEDIO"
"310",2016,"4b",430,"Medio",273,264,72,78,73,78,"MEDIO-BAJO"
"311",2016,"4b",430,"Medio",273,264,72,78,73,78,"MEDIO"
"312",2016,"4b",431,"Medio alto",276,261,80,82,77,86,"MEDIO"
"313",2016,"4b",433,"Medio",291,282,76,83,72,82,"MEDIO"
